territory_id,region,postcode_prefixes,estimated_population,indicative_business_count,average_household_income, Status
"1,Greater London,E1+|E2+|E3+|E14*,320000,18500,48000, Available"
"2,Greater London,E4+|E5+|E8+|E9+ ,300000,13500,44000, Available"
"3,Greater London,E6+|E7+|E12*|E13*|E16* ,310000,14000,40000, Available"
"4,Greater London,EC1+|EC2+|EC3+|EC4+|WC1+|WC2+,290000,55000,60000, Available"
"5,Greater London,N1+|N4+|N5+|N7+|N19*,310000,12000,46000, Available"
"6,Greater London,N2+|N3+|N6+|N8+|N10*|N11* ,300000,14000,50000, Available"
"7,Greater London,NW1+|NW3+|NW5+|NW6+|NW8+ ,300000,16500,58000, Available"
"8,Greater London,SE1+|SE5+|SE11*|SE17* ,310000,15000,43000, Available"
"9,Greater London,SE2+|SE7+|SE8+|SE9+|SE18*|SE28* ,320000,13500,40000, Available"
"10,Greater London,SW1+|SW3+|SW5+|SW7+|SW10* ,290000,19000,65000, Available"
"11,South East Coastal, BN1|BN2|BN3,310000,15000,44000, Available"
"12,South East London,BN11|BN12BN13|BN14|BN15, 300000, 12500, 39000, Available"
"13, South East Coastal, BN16|BN17|BN18|BN41|BN44,  295000, 11000, 40000, Available"
"14, South East Coastal,CT1|CT2|CT3|CT4|CT5, 315000, 12000, 37000, Available"
"15, South East Coastal,  CT6|CT7|CT8|CT9|CT10|CT11, 320000, 11000, 35000, Available"
"16, South East Coastal, CT12|CT13|CT14|CT15|CT16|CT17, 300000, 9500, 34000, Available"
"17, South East Coastal, TN1| TN2|TN3|TN4,  290000, 12000, 46000, Available"
"18, South East Coastal, TN9|TN10|TN11|TN12|TN13, 300000, 11500, 44000, Available"
"19, South East Coastal, PO1|PO2| PO3|PO4|PO5|PO6, 310000, 12000, 39000, Available"
"20, South East Coastal, PO10|PO11|PO12|PO13|PO14,  300000, 10500, 40000, Available"
"21,Surrey & North Sussex,GU1|GU2|GU3|GU4|GU5,310000,13000,54000,Available"
"22,Surrey & North Sussex,GU6|GU7|GU8|GU9|GU10,300000,12000,51000,Available"
"23,Surrey & North Sussex,GU11|GU12|GU14|GU15|GU16,315000,13500,48000,Available"
"24,Surrey & North Sussex,GU17|GU18|GU19|GU20|GU21,300000,12000,49000,Available"
"25,Surrey & North Sussex,RH1|RH2|RH3|RH4|RH5,310000,11500,47000,Available"
"26,Surrey & North Sussex,RH6|RH7|RH8|RH9|RH10,300000,11000,45000,Available"
"27,Surrey & North Sussex,KT1|KT2|KT3|KT4,310000,13000,53000,Available"
"28,Surrey & North Sussex,KT5|KT6|KT7|KT8|KT9,300000,12000,51000,Available"
"29,Surrey & North Sussex,CR0|CR2|CR3|CR4,320000,14500,42000,Available"
"30,Surrey & North Sussex,CR5|CR6|CR7|CR8,300000,12000,43000,Available"
"31,Thames Valley & Berkshire,RG1|RG2|RG30|RG31|RG6,315000,13500,48000,Available"
"32,Thames Valley & Berkshire,RG4|RG5|RG7|RG8|RG10,295000,12000,52000,Available"
"33,Thames Valley & Berkshire,RG12|RG14|RG18|RG19|RG20,300000,12000,51000,Available"
"34,Thames Valley & Berkshire,SL1|SL2|SL3|SL4,310000,13000,56000,Available"
"35,Thames Valley & Berkshire,SL6|SL7|SL8|SL9,300000,12000,58000,Available"
"36,Thames Valley & Berkshire,HP5|HP6|HP7|HP8|HP9,300000,12500,59000,Available"
"37,Thames Valley & Berkshire,HP10|HP11|HP12|HP13|HP14,320000,14000,53000,Available"
"38,Thames Valley & Berkshire,OX1|OX2|OX3|OX4,315000,14500,49000,Available"
